 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 客户存款和同业存放款项净增加额(万元),134562300,71712400,90527200,101609700,101606000,93447700,53828300,117955300,122575200,169163500,97131200,45506400,43621400,43551900,34356300,34529000, 
 向中央银行借款净增加额(万元,--,16863800,45138600,6744400,14733200,7091700,4856600,804100,1180000,601900,511100,4811100,1231900,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),66775200,61427100,55968700,61769300,60751100,53769600,52367400,41708600,31352700,26667500,27251100,29624600,22036600,17327900,14244500,12367300, 
 拆入资金净增加额(万元),7976300,2105200,--,649600,--,--,12342000,--,1403300,5647100,1556000,10157400,-6571800,9638700,--,379000, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 收到的其他与经营活动有关的现金(万元),14293500,30468600,5921600,21098600,4699000,8750400,7660600,5518200,40156500,18426800,10602500,2072900,3172400,697200,1167800,2468500, 
 经营活动现金流入小计(万元),253426900,194012000,197556100,206605100,181789300,163059400,131054900,165986200,196667700,220506800,137051900,102183500,48671100,71511100,50295800,49816900, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 客户贷款及垫款净增加额(万元),96410500,98517700,91425100,83361500,90198000,75183600,52568200,68359900,75599800,162304500,45195100,42501900,19795600,9404200,19396200,38289800, 
 存放中央银行和同业款项净增加额(万元),--,--,11941300,--,16997000,14116600,7315300,20395400,53966400,42738500,12309400,32703800,6379700,4113000,2968400,4134500, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),31763200,27472200,24838200,27128800,24829000,20889900,21552000,16828000,11121800,10712600,10948900,10624000,8719500,6455600,4673700,4190700, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 支付给职工以及为职工支付的现金(万元),8361300,8147800,8050400,8006700,7690900,7185100,6418500,5897000,5022500,4286200,3905900,3543500,2739900,2329500,2007800,1585700, 
 支付的各项税费(万元),5706400,6780300,8267400,8503500,8555200,6987600,6119800,4646200,4264800,5088900,3325000,3094300,3249100,2300900,668600,912400, 
 支付的其他与经营活动有关的现金(万元),24734500,12480400,15363000,12395200,8561000,12851200,10688700,11622000,15792700,7385400,18890900,--,--,--,--,0, 
 经营活动现金流出小计(万元),187191100,153398400,179348000,139395700,169097500,140775400,104662500,144550500,165768000,232516100,94575200,97045200,45530500,70122800,60369600,55886800, 
 经营活动产生的现金流量净额(万元),66235800,40613600,18208100,67209400,12691800,22284000,26392400,21435700,30899700,-12009300,42476700,5138300,3140600,1388300,-10073800,-6069900, 
 收回投资所收到的现金(万元),242343400,206326200,213755500,127072300,90832000,116976400,120959400,133684500,121076600,156388000,127433600,--,--,--,--,1528400, 
 取得投资收益所收到的现金(万元),14267000,12155200,12378000,10051300,8111800,6451400,6245800,5526200,5154400,4495500,5545400,52300,32000,11600,7600,400, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1027300,873600,1120100,1258000,962400,596900,201900,394900,297700,241500,485500,417900,173200,429100,296300,260900, 
 处置子公司及其他营业单位收到的现金净额(万元),530000,517600,2785700,741600,107800,78800,273700,47100,47100,--,0,46600,112000,--,--,0, 
 收到的其他与投资活动有关的现金(万元),379800,364000,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 投资活动现金流入小计(万元),258547500,220236600,230039300,139123200,100014000,124103500,127680800,139652700,126575800,161137800,133467900,516800,317200,671300,522500,1983300, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4214900,4601100,3424700,3694200,3510800,3477100,2949000,3245500,2399000,3462700,2177800,1234600,742500,595100,675700,593800, 
